,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
145,South Sudan,10486,8,114,0,10250,35,122,0,928,10,144957,12830,11298696,Africa
146,Aruba,10399,0,94,0,9932,0,373,14,97069,877,141669,1322403,107130,North America
147,Papua New Guinea,10197,245,91,0,7364,0,2742,0,1123,10,73276,8068,9082198,Australia/Oceania
148,Congo,10084,0,139,0,8208,0,1737,0,1792,25,92500,16441,5626162,Africa
149,Bahamas,9800,0,194,0,9059,0,547,4,24732,490,82713,208738,396252,North America
150,Suriname,9687,0,188,0,8900,0,599,19,16395,318,47668,80678,590841,South America
151,Trinidad and Tobago,9135,0,157,0,7996,0,982,8,6510,112,122901,87591,1403124,North America
152,Cambodia,7747,303,54,5,2794,239,4899,0,458,3,811284,47994,16903887,Asia
153,Benin,7720,0,97,0,7510,0,113,35,624,8,581843,47015,12375703,Africa
154,Equatorial Guinea,7505,0,106,0,7016,0,383,11,5213,74,116266,80766,1439535,Africa
155,Nicaragua,6835,0,181,0,4225,0,2429,0,1022,27,0,0,6687591,North America
156,Iceland,6362,12,29,0,6213,5,120,3,18547,85,580974,1693713,343018,Europe
157,CAR,5929,0,79,0,5112,0,738,2,1211,16,40907,8354,4896784,Africa
158,Yemen,5918,0,1138,0,2281,0,2499,23,195,37,22934,756,30349225,Asia
159,Gambia,5784,0,170,0,5225,0,389,3,2341,69,61900,25055,2470613,Africa
160,Niger,5140,0,191,0,4795,0,154,23,206,8,96087,3859,24900476,Africa
161,San Marino,5044,3,88,0,4794,37,162,4,148405,2589,59151,1740350,33988,Europe
162,Seychelles,5016,4,25,0,4551,16,440,0,50751,253,21504,217575,98835,Africa
163,Chad,4723,0,169,0,4353,0,201,0,281,10,110863,6599,16800273,Africa
164,Saint Lucia,4419,0,69,0,4265,0,85,1,23977,374,38924,211199,184300,North America
165,Gibraltar,4291,0,94,0,4181,0,16,1,127394,2791,226510,6724757,33683,Europe
166,Channel Islands,4055,2,86,0,3956,0,13,1,23152,491,399901,2283244,175146,Europe
167,Sierra Leone,4041,0,79,0,2857,0,1105,0,499,10,119155,14699,8106291,Africa
168,Comoros,3822,2,146,0,3645,19,31,0,4322,165,0,0,884361,Africa
169,Barbados,3793,0,44,0,3692,0,57,0,13186,153,149423,519449,287657,North America
170,Guinea-Bissau,3713,0,66,0,3170,0,477,9,1852,33,62111,30978,2005027,Africa
171,Burundi,3643,0,6,0,773,0,2864,0,299,5,90019,7396,12171968,Africa
172,Eritrea,3548,0,10,0,3341,0,197,0,990,3,23693,6608,3585649,Africa
173,Liechtenstein,2836,0,56,0,2698,0,82,6,74210,1465,32252,843940,38216,Europe
174,Vietnam,2800,0,35,0,2490,0,275,0,29,4,2598753,26507,98039824,Asia
175,New Zealand,2599,2,26,0,2490,5,83,0,520,5,1982784,396390,5002100,Australia/Oceania
176,Monaco,2413,0,31,0,2306,0,76,4,61143,786,51953,1316432,39465,Europe
177,Turks and Caicos,2369,0,17,0,2291,0,61,2,60533,434,45274,1156838,39136,North America
178,Sao Tome and Principe,2283,0,35,0,2219,0,29,0,10265,157,12597,56640,222405,Africa
179,Bermuda,2226,12,20,0,1313,23,893,35,35849,322,228306,3676840,62093,North America
180,Sint Maarten,2211,0,27,0,2161,0,23,1,51104,624,26322,608390,43265,North America
181,Liberia,2091,5,85,0,1936,37,70,2,406,16,92799,18011,5152314,Africa
182,St. Vincent Grenadines,1819,0,10,0,1686,0,123,2,16355,90,44286,398173,111223,North America
183,Saint Martin,1702,0,12,0,1399,0,291,7,43427,306,27588,703919,39192,North America
184,Isle of Man,1582,5,29,0,1543,0,10,1,18526,340,44761,524170,85394,Europe
185,Caribbean Netherlands,1548,0,15,0,1456,0,77,0,58596,568,10025,379476,26418,North America
186,Timor-Leste,1509,57,2,0,760,33,747,0,1127,1,59291,44298,1338472,Asia
187,Antigua and Barbuda,1217,0,31,0,995,0,191,4,12346,314,16493,167309,98578,North America
188,Mauritius,1204,1,15,0,987,53,202,0,945,12,358675,281653,1273462,Africa
189,Taiwan,1082,4,11,0,1038,0,33,0,45,5,513203,21517,23851377,Asia
190,Bhutan,986,20,1,0,883,0,102,0,1267,1,677407,870249,778406,Asia
191,St. Barth,934,0,1,0,462,0,471,0,94334,101,26385,2664882,9901,North America
192,Faeroe Islands,663,0,1,0,660,0,2,0,13527,20,249456,5089692,49012,Europe
193,Cayman Islands,531,0,2,0,508,0,21,0,8004,30,87203,1314506,66339,North America
194,Tanzania,509,0,21,0,183,0,305,7,8,3,0,0,61085878,Africa
195,Wallis and Futuna,440,1,5,0,44,0,391,4,39711,451,12359,1115433,11080,Australia/Oceania
196,Brunei ,223,0,3,0,210,0,10,0,506,7,118338,268442,440832,Asia
197,British Virgin Islands,187,0,1,0,182,0,4,0,6153,33,35791,1177645,30392,North America
198,Dominica,172,0,0,0,165,0,7,0,2385,0,14384,199420,72129,North America
199,Grenada,157,0,1,0,154,0,2,0,1390,9,25623,226871,112941,North America
200,New Caledonia,124,0,0,0,58,0,66,0,431,0,29618,102949,287695,Australia/Oceania
201,Laos,88,28,0,0,49,0,39,0,12,0,149401,20299,7359914,Asia
202,Fiji,78,1,2,0,65,0,11,0,87,2,43487,48231,901649,Australia/Oceania
203,Falkland Islands,62,0,0,0,55,0,7,0,17416,0,7191,2019944,3560,South America
204,Macao,49,0,0,0,48,0,1,0,75,0,4418,6731,656410,Asia
205,Anguilla,29,0,0,0,25,0,4,0,1919,0,17376,1149967,15110,North America
206,Vatican City,27,0,0,0,15,0,12,0,33624,0,0,0,803,Europe
207,Saint Pierre Miquelon,25,0,0,0,24,0,1,0,4332,0,5318,921504,5771,North America
208,Solomon Islands,20,0,0,0,18,0,2,0,29,0,4500,6426,700288,Australia/Oceania
209,Western Sahara,10,0,1,0,8,0,1,0,16,2,0,0,609025,Africa
210,Vanuatu,4,0,1,0,1,0,2,0,13,3,470,1502,312859,Australia/Oceania
211,Samoa,3,0,0,0,2,0,1,0,15,0,0,0,199471,Australia/Oceania
212,China,90541,21,4636,0,85600,27,305,6,63,3,160000000,111163,1439323776,Asia
213,Tajikistan,13308,0,90,0,13218,0,0,0,1371,9,0,0,9708257,Asia
214,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,0,Ship
215,Montserrat,20,0,1,0,19,0,0,0,4005,200,1313,262915,4994,North America
216,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0,0,Ship
217,Saint Kitts and Nevis,44,0,0,0,44,0,0,0,822,0,12381,231421,53500,North America
218,Greenland,31,0,0,0,31,0,0,0,545,0,20669,363577,56849,North America
219,Marshall Islands,4,0,0,0,4,0,0,0,67,0,0,0,59510,Australia/Oceania
220,Micronesia,1,0,0,0,1,0,0,0,9,0,0,0,115988,Australia/Oceania
