,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,World,"140,558,460","+53,399","3,012,991","+1,438","119,457,550","+52,693","18,087,919","106,795","18,032",386.5,,,,All,"
",,
16,16,Ukraine,"1,936,228","+14,984","39,536 ",+440,"1,475,556","+9,736","421,136",177,"44,485",908,"8,869,518","203,779","43,525,192 ",Europe,22,"1,101",5
17,17,Peru,"1,689,051",,"56,454 ",,"1,610,563",,"22,034","2,591","50,671","1,694","10,295,559","308,862","33,333,897 ",South America,20,590,3
18,18,Czechia,"1,600,341","+3,206","28,396 ",+27,"1,495,570",+252,"76,375",971,"149,220","2,648","15,507,408","1,445,951","10,724,712 ",Europe,7,378,1
19,19,Indonesia,"1,594,722",,"43,196 ",,"1,444,229",,"107,297",,"5,782",157,"13,732,975","49,792","275,806,497 ",Asia,173,"6,385",20
20,20,South Africa,"1,564,355",,"53,663 ",,"1,488,572",,"22,120",546,"26,117",896,"10,291,264","171,812","59,898,425 ",Africa,38,"1,116",6
21,21,Netherlands,"1,387,043",,"16,873 ",,"1,156,614",,"213,556",775,"80,807",983,"11,292,587","657,889","17,164,888 ",Europe,12,"1,017",2
22,22,Chile,"1,109,311",,"24,923 ",,"1,037,539",,"46,849","3,277","57,639","1,295","12,206,029","634,217","19,245,815 ",South America,17,772,2
23,23,Canada,"1,106,062",,"23,541 ",,"997,202",,"85,319","1,089","29,104",619,"29,497,034","776,166","38,003,522 ",North America,34,"1,614",1
24,24,Romania,"1,023,565",,"25,937 ",,"930,942",,"66,686","1,493","53,490","1,355","7,847,540","410,097","19,135,798 ",Europe,19,738,2
25,25,Iraq,"964,435",,"14,915 ",,"843,851",,"105,669",494,"23,562",364,"8,732,638","213,348","40,931,458 ",Asia,42,"2,744",5
